ds,prophet_pred
1/1/2019,118855.1072
2/1/2019,118940.8035
3/1/2019,86480.16635
4/1/2019,54303.06654
5/1/2019,-9419.632405
6/1/2019,9200.160799
7/1/2019,47220.92776
8/1/2019,53513.20437
9/1/2019,24143.79217
10/1/2019,23096.1715
11/1/2019,63820.32717
12/1/2019,120247.1611
1/1/2020,148010.3669
2/1/2020,145414.7438
3/1/2020,117292.9327
4/1/2020,57614.79111
5/1/2020,42998.02484
6/1/2020,40027.12605
7/1/2020,72676.96404
8/1/2020,63923.12933
9/1/2020,52305.3239
10/1/2020,57048.12378
11/1/2020,79127.17561
12/1/2020,111025.9004
1/1/2021,122899.2787
2/1/2021,127148.7051
3/1/2021,127788.3296
4/1/2021,76988.29934
5/1/2021,46197.35114
6/1/2021,50676.00085
7/1/2021,85162.78929
8/1/2021,81547.09748
9/1/2021,64016.50802
10/1/2021,66454.66437
11/1/2021,94667.78294
12/1/2021,134904.7646
1/1/2022,152226.3456
2/1/2022,154601.5742
3/1/2022,138413.0236
4/1/2022,96787.74264
5/1/2022,49630.76217
6/1/2022,61311.54952
7/1/2022,97590.85281
8/1/2022,98993.06661
9/1/2022,75546.03165
10/1/2022,76057.95046
11/1/2022,110494.5052
12/1/2022,158915.6548
1/1/2023,181540.4084
2/1/2023,181635.9363
3/1/2023,149184.1794
4/1/2023,117016.9246
5/1/2023,53303.75309
6/1/2023,71933.39128
7/1/2023,109963.6857
8/1/2023,116265.8072
9/1/2023,86906.24005
10/1/2023,85868.14679
11/1/2023,126602.1474
12/1/2023,183038.5088
1/1/2024,210811.5596
2/1/2024,208225.7815
3/1/2024,180113.1802
4/1/2024,120444.8836
5/1/2024,105837.6448
6/1/2024,102876.591
7/1/2024,135535.9564
8/1/2024,126791.9666
9/1/2024,115184.0061
10/1/2024,119935.2949
11/1/2024,142023.1185
12/1/2024,173930.3322
1/1/2025,185810.9518
2/1/2025,190067.6195
3/1/2025,190712.1343
4/1/2025,139917.5183
5/1/2025,109131.8097
6/1/2025,113615.8441
7/1/2025,148107.8434
8/1/2025,144497.194
9/1/2025,126971.647
10/1/2025,129414.6831
11/1/2025,157632.4672
12/1/2025,197873.964
1/1/2026,215200.0233
2/1/2026,217579.7301
3/1/2026,201395.2244
4/1/2026,159773.5285
5/1/2026,112620.0175
6/1/2026,124302.7805
7/1/2026,160583.9957
8/1/2026,161988.1851
9/1/2026,138541.6884
