ds,yhat,yhat_lower,yhat_upper,series
2018-01-01,159207.7393092875,65706.62010615524,255358.38179450767,SriLanka_Total
2018-02-01,159520.99237546025,63918.02117010757,249686.01612322044,SriLanka_Total
2018-03-01,143477.34096540106,52831.04759071559,237077.4352046766,SriLanka_Total
2018-04-01,100493.73131197883,7145.6130721635245,195668.71015725515,SriLanka_Total
2018-05-01,52840.35535473855,-45428.476871410916,143813.90681065555,SriLanka_Total
2018-06-01,64705.18773214299,-24760.593044389112,158568.60687469397,SriLanka_Total
2018-07-01,105448.89807446442,9642.457593039808,199536.64754669493,SriLanka_Total
2018-08-01,103207.88491636477,6174.954568933059,194266.90604662208,SriLanka_Total
2018-09-01,74901.53309535768,-18220.840780353476,167873.7022054777,SriLanka_Total
2018-10-01,72398.15521822924,-19397.39497275216,162877.50114004314,SriLanka_Total
2018-11-01,108139.92005222544,17083.532814179238,199227.9857235028,SriLanka_Total
2018-12-01,158167.48965835958,66863.65905491203,249773.80305828736,SriLanka_Total
2019-01-01,165278.01943994116,64794.09348305267,258552.94094143034,SriLanka_Total
2019-02-01,165782.58272835775,74209.61725656397,255458.6215589824,SriLanka_Total
2019-03-01,145158.2977803961,55633.37365790785,242005.98195949313,SriLanka_Total
2019-04-01,111345.7193322839,19416.568589030692,204980.31528312401,SriLanka_Total
2019-05-01,46604.06753527074,-52196.30884044862,139245.17438728551,SriLanka_Total
2019-06-01,65140.163092457035,-27519.060052740006,149629.31079664893,SriLanka_Total
2019-07-01,108111.31944121707,15754.909924859187,200727.59150446142,SriLanka_Total
2019-08-01,108242.974081732,17083.253803702715,205224.4554258475,SriLanka_Total
2019-09-01,71392.17994720292,-20958.10959449273,166812.1163886482,SriLanka_Total
2019-10-01,68026.62496049065,-25325.324004530597,163085.47002719744,SriLanka_Total
2019-11-01,109839.66899775514,22414.17312668877,206472.43826147006,SriLanka_Total
2019-12-01,168923.77191617957,73055.18135512232,266356.0033283395,SriLanka_Total
2020-01-01,171371.82214710157,80602.39121761353,267688.2287464771,SriLanka_Total
2020-02-01,171856.3109404124,77323.77603566635,263139.6311895214,SriLanka_Total
2020-03-01,150535.17258382632,58422.50521282474,246140.3296473867,SriLanka_Total
