YEAR,REGION,COUNTRY,MONTH,ARRIVALS
2018,Asia & Oceania,AFGHANISTAN,January,83
2018,Europe,ALBANIA,January,14
2018,Africa,ALGERIA,January,38
2018,Europe,ANDORRA,January,4
2018,Africa,ANGOLA,January,0
2018,America,ANTIGUA & BARBUDA,January,1
2018,America,ARGENTINA,January,236
2018,Asia & Oceania,ARMENIA,January,180
2018,Asia & Oceania,AUSTRALIA,January,9452
2018,Europe,AUSTRIA,January,2833
2018,Asia & Oceania,AZERBAIJAN,January,78
2018,America,BAHAMAS,January,1
2018,Middle East,BAHRAIN,January,588
2018,Asia & Oceania,BANGLADESH,January,982
2018,America,BARBADOS,January,4
2018,Europe,BELARUS,January,802
2018,Europe,BELGIUM,January,1275
2018,America,BELIZE,January,2
2018,Africa,BENIN,January,1
2018,Asia & Oceania,BHUTAN,January,110
2018,America,BOLIVIA,January,6
2018,Europe,BOSNIA & HERZEGOVINA,January,20
2018,Africa,BOTSWANA,January,9
2018,America,BRAZIL,January,226
2018,Asia & Oceania,BRUNEI,January,4
2018,Europe,BULGARIA,January,277
2018,Africa,BURKINA FASO,January,2
2018,Africa,BURUNDI ,January,1
2018,Asia & Oceania,CAMBODIA,January,85
2018,Africa,CAMEROON,January,2
2018,America,CANADA,January,5682
2018,Africa,CAPE VERDE,January,1
2018,Africa,CENTRAL AFRICAN REPUBLIC,January,0
2018,Africa,CHAD,January,0
2018,America,CHILE,January,99
2018,Asia & Oceania,CHINA,January,24275
2018,America,COLOMBIA,January,52
2018,Africa,COMOROS,January,8
2018,Africa,CONGO,January,1
2018,Africa,CONGO,January,0
2018,America,COSTA RICA,January,9
2018,Africa,COTE D'IVOIRE,January,1
2018,Europe,CROATIA,January,481
2018,America,CUBA,January,3
2018,Europe,CYPRUS,January,55
2018,Europe,CZECH REPUBLIC,January,2257
2018,Europe,DENMARK,January,3013
2018,Africa,DJIBOUTI,January,1
2018,America,DOMINICA,January,4
2018,America,DOMINICAN REPUBLIC,January,4
2018,America,ECUADOR,January,7
2018,Africa,EGYPT,January,433
2018,America,EL SALVADOR,January,7
2018,Africa,ERITREA,January,8
2018,Europe,ESTONIA,January,435
2018,Africa,ETHIOPIA,January,18
2018,Asia & Oceania,FIJI,January,19
2018,Europe,FINLAND,January,1854
2018,Europe,FRANCE,January,12221
2018,Africa,GABON,January,0
2018,Africa,GAMBIA,January,1
2018,Europe,GEORGIA,January,85
2018,Europe,GERMANY,January,15298
2018,Africa,GHANA,January,9
2018,Europe,GREECE,January,644
2018,America,GRENADA,January,1
2018,America,GUATEMALA,January,9
2018,America,GUYANA,January,0
2018,Africa,GUINEA- BISSAU,January,1
2018,America,HAITI,January,1
2018,America,HONDURAS,January,9
2018,Asia & Oceania,HONG KONG,January,2
2018,Europe,HUNGARY,January,894
2018,Europe,ICELAND,January,51
2018,Asia & Oceania,INDIA,January,37936
2018,Asia & Oceania,INDONESIA,January,535
2018,Middle East,IRAN,January,507
2018,Middle East,IRAQ,January,81
2018,Europe,IRELAND,January,975
2018,Middle East,ISRAEL,January,1321
2018,Europe,ITALY,January,5348
2018,America,JAMAICA,January,9
2018,Asia & Oceania,JAPAN,January,4694
2018,Middle East,JORDAN,January,366
2018,Asia & Oceania,KAZAKHSTAN,January,674
2018,Africa,KENYA,January,64
2018,Asia & Oceania,KIRIBATI,January,1
2018,Europe,KOSOVO,January,0
2018,Middle East,KUWAIT,January,545
2018,Asia & Oceania,KYRGYZSTAN,January,109
2018,Asia & Oceania,LAO,January,9
2018,Europe,LATVIA,January,268
2018,Middle East,LEBANON,January,358
2018,Africa,LESOTHO,January,0
2018,Africa,LIBERIA,January,0
2018,Africa,LIBYA,January,7
2018,Europe,LIECHTENSTEIN,January,5
2018,Europe,LITHUANIA,January,382
2018,Europe,LUXEMBOURG,January,87
2018,Europe,MACEDONIA,January,44
2018,Africa,MADAGASCAR,January,5
2018,Africa,MALAWI,January,5
2018,Asia & Oceania,MALAYSIA,January,1735
2018,Asia & Oceania,MALDIVES,January,6124
2018,Africa,MALI,January,2
2018,Europe,MALTA,January,47
2018,Asia & Oceania,MARSHALL ISLANDS,January,0
2018,Africa,MAURITANIA,January,1
2018,Africa,MAURITIUS,January,56
2018,America,MEXICO,January,84
2018,Asia & Oceania,MICRONESIA,January,0
2018,Europe,MOLDOVA,January,100
2018,Europe,MONACO,January,5
2018,Asia & Oceania,MONGOLIA,January,21
2018,Europe,MONTENEGRO,January,17
2018,Africa,MOROCCO,January,86
2018,Africa,MOZAMBIQUE,January,2
2018,Asia & Oceania,MYANMAR,January,372
2018,Africa,NIGER,January,0
2018,Africa,NAMIBIA,January,5
2018,Asia & Oceania,NAURU,January,0
2018,Asia & Oceania,NEPAL,January,566
2018,Europe,NETHERLANDS,January,5061
2018,Asia & Oceania,NETHERLAND ANTILLES,January,0
2018,Asia & Oceania,NEW ZEALAND,January,989
2018,America,NICARAGUA,January,4
2018,Africa,NIGER,January,0
2018,Africa,NIGERIA,January,44
2018,Asia & Oceania,NORTH KOREA,January,0
2018,Europe,NORWAY,January,1851
2018,Middle East,OMAN,January,842
2018,Asia & Oceania,PAKISTAN,January,2099
2018,Asia & Oceania,PALAU,January,0
2018,Middle East,PALESTINIAN TERRITORIES,January,114
2018,America,PANAMA,January,5
2018,Asia & Oceania,PAPUA NEW GUINEA,January,5
2018,America,PARAGUAY,January,0
2018,America,PERU,January,27
2018,Asia & Oceania,PHILIPPINES,January,1667
2018,Europe,POLAND,January,3254
2018,Europe,PORTUGAL,January,486
2018,Middle East,QATAR,January,268
2018,Europe,ROMANIA,January,935
2018,Europe,RUSSIAN FEDERATION,January,11569
2018,Africa,RWANDA,January,1
2018,America,SAINT KITTS & NEVIS,January,6
2018,America,SAINT LUCIA,January,0
2018,America,SAINT VINCENT & THE GRENADINES,January,0
2018,Asia & Oceania,SAMOA,January,0
2018,Europe,SAN MARINO,January,1
2018,Africa,SAO TOME AND PRINCIPE,January,0
2018,Middle East,SAUDI ARABIA,January,4397
2018,Africa,SENEGAL,January,5
2018,Europe,SERBIA,January,285
2018,Africa,SEYCHELLES,January,0
2018,Africa,SIERRA LEONE,January,1
2018,Asia & Oceania,SINGAPORE,January,1387
2018,Europe,SLOVAK REPUBLIC,January,760
2018,Europe,SLOVENIA,January,380
2018,Asia & Oceania,SOLOMAN ISLANDS,January,1
2018,Africa,SOMALIA,January,9
2018,Africa,SOUTH AFRICA,January,588
2018,Asia & Oceania,SOUTH KOREA,January,2493
2018,Africa,SOUTH SUDAN,January,0
2018,Europe,SPAIN,January,1388
2018,Africa,SUDAN,January,59
2018,America,SURINAME,January,1
2018,Africa,SWAZILAND,January,0
2018,Europe,SWEDEN,January,5586
2018,Europe,SWITZERLAND,January,3104
2018,Middle East,SYRIAN ARAB REPUBLIC,January,19
2018,Asia & Oceania,TAIWAN,January,928
2018,Asia & Oceania,TAJIKISTAN,January,25
2018,Asia & Oceania,TANZANIA,January,18
2018,Asia & Oceania,THAILAND,January,785
2018,Asia & Oceania,TIMOR-LESTE,January,1
2018,Asia & Oceania,TOGO,January,3
2018,Asia & Oceania,TONGA,January,0
2018,America,TRINIDAD & TOBAGO,January,5
2018,Asia & Oceania,TUNISIA,January,71
2018,Asia & Oceania,TURKEY,January,658
2018,Asia & Oceania,TURKMENISTAN,January,15
2018,Asia & Oceania,TUVALU,January,0
2018,Asia & Oceania,UGANDA,January,15
2018,Asia & Oceania,UKRAINE,January,6636
2018,Middle East,UNITED ARAB EMIRATES,January,336
2018,Europe,UNITED KINGDOM,January,22940
2018,America,UNITED STATES OF AMERICA,January,7501
2018,America,URUGUAY,January,13
2018,Asia & Oceania,UZBEKISTAN,January,69
2018,Asia & Oceania,VANUATU,January,0
2018,Europe,VATICAN CITY,January,0
2018,America,VENEZUELA,January,12
2018,Asia & Oceania,VIETNAM,January,237
2018,Middle East,YEMEN,January,126
2018,Africa,ZAMBIA,January,2
2018,Africa,ZIMBABWE,January,10
2019,Asia & Oceania,AFGHANISTAN,January,49
2019,Europe,ALBANIA,January,48
2019,Africa,ALGERIA,January,34
2019,Europe,ANDORRA,January,2
2019,Africa,ANGOLA,January,4
2019,America,ANTIGUA AND BARBUDA,January,1
2019,America,ARGENTINA,January,192
2019,Asia & Oceania,ARMENIA,January,156
2019,Asia & Oceania,AUSTRALIA,January,10368
2019,Europe,AUSTRIA,January,2288
2019,Asia & Oceania,AZERBAIJAN,January,53
2019,America,BAHAMAS,January,2
2019,Middle East,BAHRAIN,January,394
2019,Asia & Oceania,BANGLADESH,January,946
2019,America,BARBADOS,January,4
2019,Europe,BELARUS,January,997
2019,Europe,BELGIUM,January,1278
2019,America,BELIZE,January,4
2019,Africa,BENIN,January,0
2019,Asia & Oceania,BHUTAN,January,37
2019,America,BOLIVIA,January,4
2019,Europe,BOSNIA AND HERZEGOVINA,January,32
2019,Africa,BOTSWANA,January,7
2019,America,BRAZIL,January,330
2019,Asia & Oceania,BRUNEI DARUSSALAM,January,4
2019,Europe,BULGARIA,January,341
2019,Africa,BURKINA FASO,January,0
2019,Africa,BURUNDI,January,1
2019,Asia & Oceania,CAMBODIA,January,128
2019,Africa,CAMEROON,January,0
2019,America,CANADA,January,5840
2019,Africa,CAPE VERDE,January,0
2019,Africa,CHAD,January,0
2019,America,CHILE,January,132
2019,Asia & Oceania,CHINA,January,26414
2019,America,COLOMBIA,January,88
2019,Africa,COMOROS,January,20
2019,Africa,CONGO THE DEM REPOF THE,January,6
2019,Africa,"CONGO, REPUBLIC OF.",January,1
2019,America,COSTA RICA,January,21
