YEAR,MONTH,TOTAL_ARRIVALS,COVID
2018,April,180429,0
2018,August,200359,0
2018,December,253169,0
2018,February,235618,0
2018,January,238924,0
2018,July,217829,0
2018,June,146828,0
2018,March,233382,0
2018,May,129466,0
2018,November,195582,0
2018,October,153123,0
2018,September,149087,0
2019,April,166975,0
2019,August,143587,0
2019,December,241663,0
2019,February,252033,0
2019,January,244239,0
2019,July,115701,0
2019,June,63072,0
2019,March,244328,0
2019,May,37802,0
2019,November,176984,0
2019,October,118743,0
2019,September,108575,0
2020,April,108575,1
2020,August,108575,1
2020,December,393,1
2020,February,207507,1
2020,January,228434,1
2020,July,228434,1
2020,June,228434,1
2020,March,71370,1
2020,May,71370,1
2020,November,71370,1
2020,October,71370,1
2020,September,71370,1
2021,April,4168,1
2021,August,5040,1
2021,December,89506,1
2021,February,3366,1
2021,January,1682,1
2021,July,2429,1
2021,June,1614,1
2021,March,4581,1
2021,May,1497,1
2021,November,44294,1
2021,October,22771,1
2021,September,13547,1
2022,April,62980,0
2022,August,37760,0
2022,December,91961,0
2022,February,96507,0
2022,January,82327,0
2022,July,47293,0
2022,June,32856,0
2022,March,106500,0
2022,May,30207,0
2022,November,59759,0
2022,October,42026,0
2022,September,29802,0
2023,April,105498,0
2023,August,136405,0
2023,December,210352,0
2023,February,107639,0
2023,January,102545,0
2023,July,143039,0
2023,June,100388,0
2023,March,125495,0
2023,May,83309,0
2023,November,151496,0
2023,October,109199,0
2023,September,111938,0
2024,April,148867,0
2024,August,164609,0
2024,December,248592,0
2024,February,218350,0
2024,January,208253,0
2024,July,187810,0
2024,June,113470,0
2024,March,209181,0
2024,May,112128,0
2024,November,184158,0
2024,October,135907,0
2024,September,122140,0
2025,April,174608,0
2025,August,198235,0
2025,December,198235,0
2025,February,240217,0
2025,January,252761,0
2025,July,200244,0
2025,June,138241,0
2025,March,229298,0
2025,May,132919,0
2025,November,132919,0
2025,October,132919,0
2025,September,158971,0
