Year,Month,Number of tourist arrivals,Average value of the Month,Average duration of the Month,Total value (USD Mn)
2022,January,82327,175.8,10.484,151.74
2022,February,96507,175.8,9.985,169.4
2022,March,106500,165.1,9.17,161.24
2022,April,62980,165.1,10.45,108.66
2022,May,30207,165.1,8.73,43.54
2022,June,32856,165.1,8.298,45.01
2022,July,47293,163.8,10.976,85.03
2022,August,37760,163.8,10.985,67.94
2022,September,29802,163.8,8.299,40.51
2022,October,42026,163.8,7.975,54.9
2022,November,59759,163.8,8.273,80.98
2022,December,91961,163.8,8.455,127.36
2023,January,102545,164.4,9.11,153.5
2023,February,107639,164.4,9.13,161.61
2023,March,125495,164.4,9.15,188.84
2023,April,105498,164.4,8.55,148.22
2023,May,83309,164.4,7.3,99.98
2023,June,100388,164.4,7.44,122.85
2023,July,143039,164.4,9.31,218.98
2023,August,136405,164.4,9.39,210.51
2023,September,111938,164.4,8.27,152.19
2023,October,109199,164.4,7.61,136.7
2023,November,151496,164.4,8.24,205.31
2023,December,210352,164.4,7.79,269.27
2024,January,208253,181.15,9.06,341.789
2024,February,218350,181.15,8.74,345.702
2024,March,209181,181.15,8.93,338.385
2024,April,148867,181.15,8.37,225.716
2024,May,112128,181.15,7.58,153.965
2024,June,113470,181.15,7.35,151.08
2024,July,187810,181.15,9.65,328.31
2024,August,164609,181.15,9.46,282.087
2024,September,122140,181.15,8.18,180.988
2024,October,135907,181.15,7.54,185.631
2024,November,184158,181.15,8.18,272.887
2024,December,248592,181.15,8.04,362.061
2025,January,252761,171.74,9.23,400.666
2025,February,240217,171.74,8.91,367.581
2025,March,229298,171.74,8.99,354.023
2025,April,174608,171.74,8.56,256.69
2025,May,132919,171.74,7.19,164.129
2025,June,138241,171.74,7.14,169.514
