Month,Number of tourist arrivals,Average value of the Month,Average duration of the Month,Total value (USD Mn)
January,"208,253",181.15,9.06,341.789
February,"218,350",181.15,8.74,345.702
March,"209,181",181.15,8.93,338.385
April,"148,867",181.15,8.37,225.716
May,"112,128",181.15,7.58,153.965
June,"113,470",181.15,7.35,151.08
July,"187,810",181.15,9.65,328.31
August,"164,609",181.15,9.46,282.087
September,"122,140",181.15,8.18,180.988
October,"135,907",181.15,7.54,185.631
November,"184,158",181.15,8.18,272.887
December,"248,592",181.15,8.04,362.061
