Name,Type,Province,District,Review_Author,Rating,User_Review,Photo_URL,Place_ID
Cinnamon Grand Colombo,Hotel,Western,Colombo,Tanuli Shenanya,5,"Plates at Cinnamon Grand has been our go-to spot for all our family birthday celebrations, and it never disappoints. The ambience is warm, the food is consistently delicious, and the service is truly exceptional.

A special highlight of our visits has always been the outstanding service from Mr. Dishira. He is incredibly attentive, genuinely friendly, and goes above and beyond to ensure we are comfortable. No matter the request, he is always willing to go out of his way to accommodate us, and his professionalism and personal touch truly make every celebration feel special.

We would also like to extend our appreciation to Mr. Prabhu, who has been extremely helpful with our reservations. He is efficient, polite, and always does his best to arrange our bookings exactly the way we need, making the planning process smooth and stress-free.

Thank you to the wonderful team at Plates for consistently delivering such a memorable dining experience. We look forward to many more celebrations with you!",https://maps.googleapis.com/maps/api/place/photo?maxwidth=800&photoreference=AciIO2fi4iLp40BFbFxlDoTlnM4nV1D6vV5vSSaItfFemr7GSx_9f312ecOgVVR7KiPUgkk2Nh3MZczCKiCV0kFm2I32dqftMHlkbASVREmaL29Xa0uDDLUXwhI044w-wxhL5S6apmiBjgpJ_z93JyU6LQfkdFLvCWhwrx80jT6jHmkSCfzPHeUda6ntEZ4VfKB3WcXs4PCmatZxhnXjM96sNsOfE3K70Bag7Ses1ECZsh47Jn38v7TtNYZ9e76u9qMVwNXY3c9yrJDLA2XK6VxkOOvzr5l3772V9mY7jYdIf7JXvt4b5dw&key=AIzaSyAd3zhAx9H5rTEZ7jtxkkXiTyN48qgdzGQ,ChIJ05FiLL5Z4joRjHO4Z-Ea1uk
Cinnamon Grand Colombo,Hotel,Western,Colombo,Sandunika Botejue,5,"Excellent location, super central in Colombo with easy access to taxis! Smooth check in and check out process, the reception and staff were very hospitable!! Lobby and restaurants in the hotel were great. Room was comfortable and clean. Bathroom was modern. The Cheers Pub and Lobby Cafe were some of the highlights of our stay! Amazing food, would stay again and recommend. Pool was great and the staff offered to hold our luggage until the airport taxi arrived.",https://maps.googleapis.com/maps/api/place/photo?maxwidth=800&photoreference=AciIO2fi4iLp40BFbFxlDoTlnM4nV1D6vV5vSSaItfFemr7GSx_9f312ecOgVVR7KiPUgkk2Nh3MZczCKiCV0kFm2I32dqftMHlkbASVREmaL29Xa0uDDLUXwhI044w-wxhL5S6apmiBjgpJ_z93JyU6LQfkdFLvCWhwrx80jT6jHmkSCfzPHeUda6ntEZ4VfKB3WcXs4PCmatZxhnXjM96sNsOfE3K70Bag7Ses1ECZsh47Jn38v7TtNYZ9e76u9qMVwNXY3c9yrJDLA2XK6VxkOOvzr5l3772V9mY7jYdIf7JXvt4b5dw&key=AIzaSyAd3zhAx9H5rTEZ7jtxkkXiTyN48qgdzGQ,ChIJ05FiLL5Z4joRjHO4Z-Ea1uk
Cinnamon Grand Colombo,Hotel,Western,Colombo,Dhammike Rasnayake,5,"Cinnamon Grand Colombo is one of the best places to stay in the city. The front desk staff are exceptionally friendly and very helpful, making every guest feel truly welcome.

The rooms are spacious, comfortable, and well maintained, offering a relaxing stay whether for business or leisure. One of the real highlights here is the food—there are many restaurants to choose from, each serving delicious and varied cuisines. The breakfast spread in particular is excellent.

All the staff are attentive and courteous, always ready to go the extra mile. The hotel’s pool, gym, and other facilities make the stay even more enjoyable.

Overall, Cinnamon Grand offers comfort, great service, and fantastic dining options all in one place. Highly recommended!",https://maps.googleapis.com/maps/api/place/photo?maxwidth=800&photoreference=AciIO2fi4iLp40BFbFxlDoTlnM4nV1D6vV5vSSaItfFemr7GSx_9f312ecOgVVR7KiPUgkk2Nh3MZczCKiCV0kFm2I32dqftMHlkbASVREmaL29Xa0uDDLUXwhI044w-wxhL5S6apmiBjgpJ_z93JyU6LQfkdFLvCWhwrx80jT6jHmkSCfzPHeUda6ntEZ4VfKB3WcXs4PCmatZxhnXjM96sNsOfE3K70Bag7Ses1ECZsh47Jn38v7TtNYZ9e76u9qMVwNXY3c9yrJDLA2XK6VxkOOvzr5l3772V9mY7jYdIf7JXvt4b5dw&key=AIzaSyAd3zhAx9H5rTEZ7jtxkkXiTyN48qgdzGQ,ChIJ05FiLL5Z4joRjHO4Z-Ea1uk
Cinnamon Grand Colombo,Hotel,Western,Colombo,Kosala Gunathilake,5,"I had the chance to enjoy the Saturday lunch buffet at Cinnamon Grand, and it was a delightful experience from start to finish. The spread was impressive, with a wide variety of options to suit every palate.

The sushi station was definitely a highlight — fresh, flavorful, and beautifully presented. The shooters added a creative and refreshing touch to the meal. The main courses were equally satisfying, with tender meats, tasty sides, and a good mix of international and local dishes.

The dessert corner was another standout, offering an incredible variety of sweets that made it almost impossible to pick just one.

On top of all this, the staff were very friendly and attentive, providing excellent service that made the whole experience even more enjoyable.

Overall, Cinnamon Grand’s Saturday buffet is a wonderful combination of great food, warm hospitality, and a welcoming atmosphere. Definitely worth visiting!",https://maps.googleapis.com/maps/api/place/photo?maxwidth=800&photoreference=AciIO2fi4iLp40BFbFxlDoTlnM4nV1D6vV5vSSaItfFemr7GSx_9f312ecOgVVR7KiPUgkk2Nh3MZczCKiCV0kFm2I32dqftMHlkbASVREmaL29Xa0uDDLUXwhI044w-wxhL5S6apmiBjgpJ_z93JyU6LQfkdFLvCWhwrx80jT6jHmkSCfzPHeUda6ntEZ4VfKB3WcXs4PCmatZxhnXjM96sNsOfE3K70Bag7Ses1ECZsh47Jn38v7TtNYZ9e76u9qMVwNXY3c9yrJDLA2XK6VxkOOvzr5l3772V9mY7jYdIf7JXvt4b5dw&key=AIzaSyAd3zhAx9H5rTEZ7jtxkkXiTyN48qgdzGQ,ChIJ05FiLL5Z4joRjHO4Z-Ea1uk
Cinnamon Grand Colombo,Hotel,Western,Colombo,chinthaka wickramasinghe,5,"I went to Cinnamon Grand with my family for the lunch buffet while we were holidaying in Sri Lanka and it was really good! My favorite part was the sushi section. They had so many different kinds and it tasted super fresh. I went back a few times just for that.

The chefs were also making seafood right there, and it was cool to watch. The food overall was tasty and there were lots of choices, even for kids.

The desserts looked really nice. I tried the coconut toffees and the handmade chocolates.

It was busy but the people working there were nice. I liked that we could try so many different things, and I had fun. Will definitely visit there again.
From Nisith - 10 years",https://maps.googleapis.com/maps/api/place/photo?maxwidth=800&photoreference=AciIO2fi4iLp40BFbFxlDoTlnM4nV1D6vV5vSSaItfFemr7GSx_9f312ecOgVVR7KiPUgkk2Nh3MZczCKiCV0kFm2I32dqftMHlkbASVREmaL29Xa0uDDLUXwhI044w-wxhL5S6apmiBjgpJ_z93JyU6LQfkdFLvCWhwrx80jT6jHmkSCfzPHeUda6ntEZ4VfKB3WcXs4PCmatZxhnXjM96sNsOfE3K70Bag7Ses1ECZsh47Jn38v7TtNYZ9e76u9qMVwNXY3c9yrJDLA2XK6VxkOOvzr5l3772V9mY7jYdIf7JXvt4b5dw&key=AIzaSyAd3zhAx9H5rTEZ7jtxkkXiTyN48qgdzGQ,ChIJ05FiLL5Z4joRjHO4Z-Ea1uk
Shangri-La Colombo,Hotel,Western,Colombo,Patil Sanjay,5,"We recently stayed at Shangri La to celebrate my daughter’s birthday, and it couldn’t have been more special. The staff went above and beyond, especially during breakfast where I was surprised with a beautifully presented birthday treat and warm wishes from the team. It was such a thoughtful gesture and really made my day feel extra special.

What also stood out was the flexibility and kindness of the front desk staff – they graciously allowed a late checkout, which gave us time to relax and enjoy the last moments of our stay without feeling rushed.

From start to finish, the service was exceptional. It’s clear the team genuinely cares about making guests feel welcome and appreciated. Highly recommend for anyone looking for a place that adds those personal touches that make all the difference.",https://maps.googleapis.com/maps/api/place/photo?maxwidth=800&photoreference=AciIO2fk2h6tn780uD1ahqPlBxUbpWoh-EnNUf7NTAVx18zrOQNHf4RDDCGVEDjhFa7872dzy1T4fwqTajT3txdS5hg0SJsJZciONuJpS1RIcBriNW62uTME1GuiJOXuzMgQbDwN6h0Q5W6dLuNlJrCIsX5kIE3geOD-Zvj2NUcjn4Uw3qYd7iyQHnUbkgmrzxfZcEf95Ue7e6NGBo8QOPBXWin3MzXaHL5n9W9Zz5LEzq8A7pG6aaxG2weROhbhgTCFHjkHV-4Nw_IRgBwNfP9ZPG1EnkoCd7P_HrEhGZeksZwWFtzfL4orq9v8SltNG8ZEIe3zaOzSQ4PEcsbVQa6JI1zBedhnLfNrQ6Vt7P0-VfarGnX97alw34AevCNoYf8Yo-7ckEnHnWysGt9iywXVvp1H2gPSkjQaUDDOxZQm-9wA6NeBvFMQSShCFaBpJ3SA9OsIXUq_4g2tvbBpyfntKmUYZ26z6VZW4EQN6PPoRD8Wivr3LYEl8e3Xz5i07nBLLWGRWk-hrXUyrJA-YjwGz4W5B6qMc6uW4HUim2EuVpYa28Qd_beAi4UY2_lfm1RUtx32HQIUC8G6iA&key=AIzaSyAd3zhAx9H5rTEZ7jtxkkXiTyN48qgdzGQ,ChIJT0w2CTtZ4joRFlxN8qE_wX0
Shangri-La Colombo,Hotel,Western,Colombo,Nagesh Sagar,5,"Excellent place to stay and fine. Rooms are large and very well-appointed with all necessities. Check-in does take time, but the staff is very helpful.
Opt for the MAP package. Both Breakfast and Dinner had a lot choices of cuisines and the buffet was well planned and extensive. Food was excellent.
The Hotel is attached to a reasonably sized Mall with a lot of International labels and domestic top retailers. The Mall has direct access from the Hotel.
Right in front of the Hotel is a strip beach that you can walk around, though no swimming was allowed.",https://maps.googleapis.com/maps/api/place/photo?maxwidth=800&photoreference=AciIO2fk2h6tn780uD1ahqPlBxUbpWoh-EnNUf7NTAVx18zrOQNHf4RDDCGVEDjhFa7872dzy1T4fwqTajT3txdS5hg0SJsJZciONuJpS1RIcBriNW62uTME1GuiJOXuzMgQbDwN6h0Q5W6dLuNlJrCIsX5kIE3geOD-Zvj2NUcjn4Uw3qYd7iyQHnUbkgmrzxfZcEf95Ue7e6NGBo8QOPBXWin3MzXaHL5n9W9Zz5LEzq8A7pG6aaxG2weROhbhgTCFHjkHV-4Nw_IRgBwNfP9ZPG1EnkoCd7P_HrEhGZeksZwWFtzfL4orq9v8SltNG8ZEIe3zaOzSQ4PEcsbVQa6JI1zBedhnLfNrQ6Vt7P0-VfarGnX97alw34AevCNoYf8Yo-7ckEnHnWysGt9iywXVvp1H2gPSkjQaUDDOxZQm-9wA6NeBvFMQSShCFaBpJ3SA9OsIXUq_4g2tvbBpyfntKmUYZ26z6VZW4EQN6PPoRD8Wivr3LYEl8e3Xz5i07nBLLWGRWk-hrXUyrJA-YjwGz4W5B6qMc6uW4HUim2EuVpYa28Qd_beAi4UY2_lfm1RUtx32HQIUC8G6iA&key=AIzaSyAd3zhAx9H5rTEZ7jtxkkXiTyN48qgdzGQ,ChIJT0w2CTtZ4joRFlxN8qE_wX0
Shangri-La Colombo,Hotel,Western,Colombo,Anton Edema,4,"Attended my son's wedding at Shangri-La. The view from the room was beautiful. Old 2V CLI and Military Hospital Buildings gave the former Lower Lake road (Baladaksha Mawatha) memories. Lower Lake Road had been shifted near to the Beira Lake. Old 2V CLI, Or's Mess, Quarters and WO's and Sgt's mess had been demolished for the road. There were three functions at the assigned location of the wedding but the noise and crowd were well controlled. One typo error was noticed. Food was excellent and the staff were well versed with the wedding crowd. Tables were well prepared and frequently supervised. Washrooms were clean and frequently attended by the staff, even noticed a senior manager visiting and observing the condition of wash washrooms. When there was an issue with a washbasin in the room complaint was smoothly handled, and the maintenance person attended to it very quickly. Air quality was well maintained. Staff were courteous and well-trained. They showed what a Star Class means by their actions.",https://maps.googleapis.com/maps/api/place/photo?maxwidth=800&photoreference=AciIO2fk2h6tn780uD1ahqPlBxUbpWoh-EnNUf7NTAVx18zrOQNHf4RDDCGVEDjhFa7872dzy1T4fwqTajT3txdS5hg0SJsJZciONuJpS1RIcBriNW62uTME1GuiJOXuzMgQbDwN6h0Q5W6dLuNlJrCIsX5kIE3geOD-Zvj2NUcjn4Uw3qYd7iyQHnUbkgmrzxfZcEf95Ue7e6NGBo8QOPBXWin3MzXaHL5n9W9Zz5LEzq8A7pG6aaxG2weROhbhgTCFHjkHV-4Nw_IRgBwNfP9ZPG1EnkoCd7P_HrEhGZeksZwWFtzfL4orq9v8SltNG8ZEIe3zaOzSQ4PEcsbVQa6JI1zBedhnLfNrQ6Vt7P0-VfarGnX97alw34AevCNoYf8Yo-7ckEnHnWysGt9iywXVvp1H2gPSkjQaUDDOxZQm-9wA6NeBvFMQSShCFaBpJ3SA9OsIXUq_4g2tvbBpyfntKmUYZ26z6VZW4EQN6PPoRD8Wivr3LYEl8e3Xz5i07nBLLWGRWk-hrXUyrJA-YjwGz4W5B6qMc6uW4HUim2EuVpYa28Qd_beAi4UY2_lfm1RUtx32HQIUC8G6iA&key=AIzaSyAd3zhAx9H5rTEZ7jtxkkXiTyN48qgdzGQ,ChIJT0w2CTtZ4joRFlxN8qE_wX0
Shangri-La Colombo,Hotel,Western,Colombo,Manoj Ragal,5,"Shangri-La Colombo truly sets the standard for luxury hospitality in Sri Lanka. From the moment you step in, you're welcomed with elegance and warmth. The service is exceptional the staff are professional, friendly, and always attentive to every detail, ensuring a seamless and personalized experience throughout your stay.

The food is absolutely outstanding, offering a wide range of local and international cuisine with rich flavours and high quality presentation. Whether it’s the buffet, à la carte dining, or desserts, every dish is thoughtfully prepared and delicious.

One of the highlights is the ballroom, which is spacious, beautifully designed, and ideal for weddings, corporate events, or gala dinners. The ambiance, lighting, and decor add a touch of class and sophistication, making any event feel truly special.

The hotel’s interior design and atmosphere reflect modern luxury with cultural touches, offering breathtaking views of the ocean and city. The rooms are spacious, well maintained, and filled with all the modern amenities you need.
Whether you're staying for leisure, a special event, or a business trip, Shangri-La Colombo delivers excellence on every level luxury, service, food, and overall experience. Highly recommended for anyone looking to enjoy the best Colombo has to offer.",https://maps.googleapis.com/maps/api/place/photo?maxwidth=800&photoreference=AciIO2fk2h6tn780uD1ahqPlBxUbpWoh-EnNUf7NTAVx18zrOQNHf4RDDCGVEDjhFa7872dzy1T4fwqTajT3txdS5hg0SJsJZciONuJpS1RIcBriNW62uTME1GuiJOXuzMgQbDwN6h0Q5W6dLuNlJrCIsX5kIE3geOD-Zvj2NUcjn4Uw3qYd7iyQHnUbkgmrzxfZcEf95Ue7e6NGBo8QOPBXWin3MzXaHL5n9W9Zz5LEzq8A7pG6aaxG2weROhbhgTCFHjkHV-4Nw_IRgBwNfP9ZPG1EnkoCd7P_HrEhGZeksZwWFtzfL4orq9v8SltNG8ZEIe3zaOzSQ4PEcsbVQa6JI1zBedhnLfNrQ6Vt7P0-VfarGnX97alw34AevCNoYf8Yo-7ckEnHnWysGt9iywXVvp1H2gPSkjQaUDDOxZQm-9wA6NeBvFMQSShCFaBpJ3SA9OsIXUq_4g2tvbBpyfntKmUYZ26z6VZW4EQN6PPoRD8Wivr3LYEl8e3Xz5i07nBLLWGRWk-hrXUyrJA-YjwGz4W5B6qMc6uW4HUim2EuVpYa28Qd_beAi4UY2_lfm1RUtx32HQIUC8G6iA&key=AIzaSyAd3zhAx9H5rTEZ7jtxkkXiTyN48qgdzGQ,ChIJT0w2CTtZ4joRFlxN8qE_wX0
Shangri-La Colombo,Hotel,Western,Colombo,Sult Al Rawahi,5,"The hotel is very luxurious with a great location overlooking the ocean and close to the city center. The staff were friendly and professional, and the service was excellent. The rooms were clean, spacious, and well-designed with beautiful views. Facilities like the pool, spa, and restaurants were also impressive. Overall, it was a wonderful stay and I would definitely recommend this hotel for anyone visiting Colombo.",https://maps.googleapis.com/maps/api/place/photo?maxwidth=800&photoreference=AciIO2fk2h6tn780uD1ahqPlBxUbpWoh-EnNUf7NTAVx18zrOQNHf4RDDCGVEDjhFa7872dzy1T4fwqTajT3txdS5hg0SJsJZciONuJpS1RIcBriNW62uTME1GuiJOXuzMgQbDwN6h0Q5W6dLuNlJrCIsX5kIE3geOD-Zvj2NUcjn4Uw3qYd7iyQHnUbkgmrzxfZcEf95Ue7e6NGBo8QOPBXWin3MzXaHL5n9W9Zz5LEzq8A7pG6aaxG2weROhbhgTCFHjkHV-4Nw_IRgBwNfP9ZPG1EnkoCd7P_HrEhGZeksZwWFtzfL4orq9v8SltNG8ZEIe3zaOzSQ4PEcsbVQa6JI1zBedhnLfNrQ6Vt7P0-VfarGnX97alw34AevCNoYf8Yo-7ckEnHnWysGt9iywXVvp1H2gPSkjQaUDDOxZQm-9wA6NeBvFMQSShCFaBpJ3SA9OsIXUq_4g2tvbBpyfntKmUYZ26z6VZW4EQN6PPoRD8Wivr3LYEl8e3Xz5i07nBLLWGRWk-hrXUyrJA-YjwGz4W5B6qMc6uW4HUim2EuVpYa28Qd_beAi4UY2_lfm1RUtx32HQIUC8G6iA&key=AIzaSyAd3zhAx9H5rTEZ7jtxkkXiTyN48qgdzGQ,ChIJT0w2CTtZ4joRFlxN8qE_wX0
